"SEN","07/04/2016","9","1822.701","5.658","0.51","4083.45","15630.576","204.536","663.246","4532.241","790.043","3865.227","1533.282"
"SEN","07/04/2016","10","1946.295","24.987","0.635","4090.605","15650.671","204.222","660.568","5406.183","789.953","3801.621","1533.927"
"SEN","07/04/2016","11","2112.503","41.787","0","4092.82","15925.456","207.662","658.3","6111.527","790.05","3798.233","1521.787"
"SEN","07/04/2016","12","2146.573","51.365","0","4102.693","16018.594","203.244","661.509","6537.399","789.823","3808.822","1484.507"
"SEN","07/04/2016","13","2129.484","63.96","0","4103.342","16129.879","207.521","661.613","6876.884","789.431","3876.44","1481.258"
"SEN","07/04/2016","14","2131.89","55.579","0.118","4142.057","16096.295","209.924","659.575","6930.296","788.657","3949.046","1446.687"
"SEN","07/04/2016","15","2131.474","61.952","0.472","4181.17","16071.502","210.906","659.857","7101.723","788.705","3996.097","1439.923"
"SEN","07/04/2016","16","2132.8","53.44","0.449","4197.862","16054.493","209.389","660.968","7103.319","788.345","4076.592","1424.055"
"SEN","07/04/2016","17","2091.129","53.054","0.419","4184.505","16048.556","208.341","659.991","7335.658","788.063","4138.497","1451.813"
"SEN","07/04/2016","18","2061.074","24.519","0.454","4146.052","16006.549","208.643","659.34","6893.487","785.587","4089.218","1439.616"
"SEN","07/04/2016","19","2095.747","7.624","0.447","4152.888","15964.483","204.402","657.528","6187.171","785.184","4028.908","1438.266"
"SEN","07/04/2016","20","2129.016","1.965","0.454","4149.215","16006.649","206.057","657.051","5841.98","786.563","3961.745","1462.352"
"SEN","07/04/2016","21","2031.536","0.012","0.417","4140.213","16074.354","213.601","660.651","7514.051","786.66","3571.167","1513.472"
"SEN","07/04/2016","22","1897.203","0","0.531","4155.468","16085.377","204.406","661.143","7448.258","787.075","3555.245","1493.335"
"SEN","07/04/2016","23","1840.365","0","0.336","4150.876","16004.929","203.288","665.219","7072.583","787.482","3549.723","1464.995"
"SEN","07/04/2016","24","1784.429","0","0.341","4152.95","15919.928","204.364","663.436","5978.508","787.239","3490.24","1433.933"
"SEN","08/04/2016","1","1822.137","0","0.331","4132.742","15902.23","204.562","666.118","3828.382","787.337","3435.578","1439.817"
"SEN","08/04/2016","2","1786.62","0","0.37","4029.688","15727.905","198.415","667.814","2829.528","787.679","3394.985","1474.442"
"SEN","08/04/2016","3","1659.657","0","0.423","4064.163","15752.626","195.577","663.601","2105.391","787.741","3402.512","1502.879"
"SEN","08/04/2016","4","1500.02","0","0.426","4077.448","15790.131","192.136","664.648","1522.362","787.359","3402.058","1517.856"
