"SEN","03/03/2026","7","3957.111","40.1007","24.91","891.4958","22543.7861","245.975","358.4668","2976.7885","1524.4994","3026.7279","1193.1217"
"SEN","03/03/2026","8","3785.3949","882.6375","25.8772","986.805","22555.0955","261.0753","358.0641","3078.3726","1525.1241","2984.7894","1211.4436"
"SEN","03/03/2026","9","3942.2485","4305.7859","25.6349","950.1203","20600.0564","261.5834","350.2167","2764.9448","1525.1161","2830.6748","1296.6147"
"SEN","03/03/2026","10","4340.0942","6411.2131","26.791","853.4168","18910.5581","251.626","339.2125","2721.655","1524.9582","2761.9059","1322.4919"
"SEN","03/03/2026","11","4329.166","6728.933","24.7755","798.0378","18311.5558","249.5707","348.3414","3144.556","1524.1536","2757.7779","1323.1611"
"SEN","03/03/2026","12","4278.5362","6486.2753","22.173","754.7037","19095.2322","265.1058","359.0759","3378.0926","1523.377","2710.4","1322.4851"
"SEN","03/03/2026","13","4565.6662","6605.0824","22.0424","635.6798","19188.4648","264.0344","360.1461","3243.5628","1522.8857","2737.5121","1307.0488"
"SEN","03/03/2026","14","4798.4721","6694.9422","22.0707","635.9544","19345.7936","273.4202","361.1454","3621.586","1521.8277","2669.7366","1308.1972"
"SEN","03/03/2026","15","4911.645","6500.9751","23.4928","636.6882","19721.3044","274.3203","360.4665","4113.1841","1508.9081","2631.1841","1267.1493"
"SEN","03/03/2026","16","4962.1839","6190.5383","26.0043","636.5862","20924.8323","330.8541","359.7277","4373.4455","1496.5711","2637.3362","1344.9674"
"SEN","03/03/2026","17","5141.4091","5609.9717","24.1429","737.875","21714.6909","363.571","359.7155","4410.4143","1496.0234","2774.4862","1395.6013"
"SEN","03/03/2026","18","5231.9748","3681.6138","25.1855","821.1014","23024.6116","360.7619","361.4045","4721.1913","1495.1812","3007.798","1459.3697"
"SEN","03/03/2026","19","5262.7014","889.0015","26.7541","820.2631","24896.9992","432.9908","362.6387","5494.2199","1496.4114","3081.2622","1549.3019"
"SEN","03/03/2026","20","5219.6299","41.0865","26.615","819.6491","25972.3538","475.746","363.544","6148.7093","1498.2271","3222.681","1571.6969"
"SEN","03/03/2026","21","5165.869","26.2574","24.0432","815.4944","26057.1097","475.5711","364.1645","6094.1348","1502.9648","3411.5174","1610.5312"
"SEN","03/03/2026","22","4998.4535","19.0529","26.2415","823.4916","25439.2237","461.3412","363.5102","5740.0222","1506.6637","3486.249","1659.9808"
"SEN","03/03/2026","23","5039.9152","15.1943","24.5759","825.7435","25121.6249","405.8794","363.796","4732.3357","1511.6418","3478.4564","1651.2802"
"SEN","03/03/2026","24","5030.5512","11.909","19.1014","825.9897","24886.9121","243.5852","363.8915","3447.8058","1515.7287","3403.1822","1595.0157"
"SEN","04/03/2026","1","4906.5927","0.6595","23.0669","825.5945","23968.889","237.7991","362.9761","2793.5108","1519.0091","3073.55","1371.6707"
"SEN","04/03/2026","2","4728.9769","0.001","25.0997","755.4615","23137.0747","250.9154","365.7623","2700.2187","1521.8084","2942.954","1299.3981"
"SEN","04/03/2026","3","4477.939","0.0008","26.3663","640.5118","22461.0159","254.3681","366.6424","3000.1877","1524.1106","2742.5684","1134.53"
"SEN","04/03/2026","4","4161.6359","0.0007","26.729","640.0983","22272.2156","242.8598","366.7099","2818.8001","1526.7294","2716.796","1007.9467"
"SEN","04/03/2026","5","3826.7024","0.0009","26.7448","642.1921","22325.0365","241.4483","366.4579","2809.3584","1528.3071","2694.6715","1002.7206"
"SEN","04/03/2026","6","3674.9996","0.0012","25.7943","641.2491","22668.6782","240.5027","366.9329","2989.6111","1529.5566","2853.6559","998.5944"
"SEN","04/03/2026","7","3686.5918","42.8543","25.6101","736.5456","23215.1355","236.1267","367.3496","3220.0058","1530.8677","3066.524","1042.2802"
"SEN","04/03/2026","8","3767.619","791.413","26.6878","818.7437","23452.6708","246.0171","367.8196","3235.568","1531.579","3062.6759","1098.5153"
"SEN","04/03/2026","9","4186.4864","3728.2582","26.5974","806.6179","21701.2147","321.0852","365.7646","2766.8949","1531.899","3034.0614","1128.7545"
"SEN","04/03/2026","10","4245.946","5998.1906","25.7781","773.5867","20381.4773","314.8422","363.3611","2661.4554","1531.9199","2772.2044","1121.8828"
"SEN","04/03/2026","11","4383.0821","6441.5582","26.2468","794.9709","19996.8012","318.5615","363.6428","2648.1406","1531.213","2870.0308","1136.0654"
"SEN","04/03/2026","12","4469.0471","6496.2364","25.3975","722.4205","19955.9351","328.2236","363.6088","2953.6342","1530.4906","2843.5466","1148.8924"
"SEN","04/03/2026","13","4453.1726","6457.9978","26.2826","754.7066","20076.1574","313.8504","363.4094","3001.3369","1530.2901","2922.9367","1150.9075"
"SEN","04/03/2026","14","4326.3688","5993.9625","25.5115","787.5105","20741.2483","299.8518","363.1397","3213.2282","1529.3577","3138.1777","1144.963"
"SEN","04/03/2026","15","4468.5169","4912.1502","24.6206","833.6446","22117.2062","311.6419","365.8677","3841.3919","1527.1338","3177.0878","1217.8975"
"SEN","04/03/2026","16","4632.5361","4801.6333","25.0087","937.3031","22782.0606","312.2985","369.69","4148.3415","1523.2852","3239.3111","1259.3976"
"SEN","04/03/2026","17","4690.7624","3793.3391","23.8258","942.9202","23751.5504","321.3006","371.6483","4597.7495","1515.212","3323.7776","1282.0637"
"SEN","04/03/2026","18","4729.805","2663.7688","21.6789","939.5374","24310.2833","311.4111","372.2382","4730.2223","1511.5414","3371.963","1412.9374"
"SEN","04/03/2026","19","4433.9897","706.3882","22.1337","955.9124","25411.0373","367.0102","373.2283","5657.0822","1510.4977","3432.7146","1587.0349"
"SEN","04/03/2026","20","4087.1926","39.908","26.3728","1036.2546","25917.4311","364.2691","372.7259","6445.2092","1511.1634","4050.1472","1784.8154"
"SEN","04/03/2026","21","3897.7829","26.4668","26.4359","1025.5834","26311.2101","370.3747","372.9176","6001.8626","1512.7489","3962.7592","1830.5827"
"SEN","04/03/2026","22","3656.4359","20.045","25.9492","940.1879","25983.1467","381.1654","374.8104","6383.0002","1516.3616","3503.3604","1779.0421"
"SEN","04/03/2026","23","3930.1038","13.55","25.2393","938.8916","25345.2503","364.8014","374.8358","5479.0193","1518.8241","3491.4553","1724.4362"
"SEN","04/03/2026","24","3911.0546","9.1832","26.4554","937.9367","24679.1113","306.0767","375.2672","4532.7791","1521.7142","3459.7799","1688.9032"
"SEN","05/03/2026","1","3707.3241","1.0325","26.3332","929.0232","24194.285","263.8827","372.1726","3566.2351","1524.6269","3349.7454","1543.6651"
"SEN","05/03/2026","2","3493.6953","0.0011","26.2574","924.2832","23500.8816","262.467","371.6979","2995.2953","1526.9446","3314.84","1498.3884"
"SEN","05/03/2026","3","3635.202","0.0009","26.8126","765.6584","22942.3858","281.1854","371.7366","2680.3757","1527.6963","3312.985","1458.467"
"SEN","05/03/2026","4","3671.3398","0.0009","25.6426","754.7428","22731.2025","281.7242","371.8867","2359.3474","1528.9238","3316.9838","1258.0611"
"SEN","05/03/2026","5","3377.5906","0.0011","25.995","779.544","22885.1126","278.7624","372.0927","2362.3971","1529.3932","3331.0499","1125.5718"
"SEN","05/03/2026","6","3149.4908","0.0011","26.5616","930.2111","23296.8419","264.4263","371.6712","2447.4143","1529.9341","3502.9636","1075.5073"
"SEN","05/03/2026","7","3224.5027","33.4669","24.246","931.7189","23925.8368","264.6666","372.0822","2929.7766","1530.2009","3552.6177","1118.5938"
"SEN","05/03/2026","8","3483.4566","739.3753","26.2857","932.6901","23456.3435","260.7949","371.8074","3096.8761","1530.1185","3467.6907","1264.3039"
"SEN","05/03/2026","9","3763.9559","3897.5959","26.7061","878.4458","21992.8042","228.2331","370.3405","2916.2288","1530.5095","3248.0647","1157.774"
"SEN","05/03/2026","10","3783.1614","6008.3564","26.3503","751.7136","20286.3881","233.9171","368.2592","3111.738","1529.3928","3067.173","1208.479"
"SEN","05/03/2026","11","3742.2577","6790.9567","25.7411","752.4852","19669.9419","223.1852","366.0152","3051.2367","1528.7089","3046.1334","1249.6455"
"SEN","05/03/2026","12","3707.5448","6648.4291","24.2811","751.8351","20128.394","235.8336","364.2987","3192.2167","1527.6386","3056.5666","1239.8909"
"SEN","05/03/2026","13","3458.0704","6379.0231","24.4102","760.0149","20831.0797","238.5559","364.5802","3398.711","1526.8451","3034.0585","1231.088"
"SEN","05/03/2026","14","3477.3719","5721.6732","25.6224","919.0477","22066.3828","222.1066","366.1202","3405.647","1526.1771","3062.5057","1250.7241"
"SEN","05/03/2026","15","3493.5333","5325.0304","22.9871","940.9523","23132.8892","235.9987","366.1213","3836.7888","1526.1761","3058.1646","1277.3194"
"SEN","05/03/2026","16","3451.0561","4697.5874","25.7712","1084.6436","23863.9228","237.4764","366.2278","4156.7863","1524.9742","3175.4579","1321.3912"
"SEN","05/03/2026","17","3471.0975","4132.8495","27.2797","1047.2346","24189.5145","268.9994","366.6065","4486.6184","1522.088","3526.8207","1313.1203"
"SEN","05/03/2026","18","3496.1523","2945.8538","23.6086","968.554","24418.3179","284.5942","367.247","4857.7085","1512.9601","3878.4818","1526.8915"
"SEN","05/03/2026","19","3450.9197","815.1819","24.3879","982.6242","25623.1021","301.0942","369.3874","5441.9217","1511.6107","3984.0835","1812.7622"
"SEN","05/03/2026","20","3160.2948","42.7603","26.1004","1116.7079","25913.4234","289.8438","370.141","6362.1325","1513.0331","4022.7063","2255.7695"
"SEN","05/03/2026","21","2921.8186","28.6591","26.2783","1256.9619","25886.7891","290.2632","370.2828","6476.9845","1515.314","3957.9624","2258.3165"
"SEN","05/03/2026","22","3175.8826","20.2434","26.1922","1256.9751","25440.7237","285.1238","369.7135","5992.0635","1517.0986","3913.9715","2210.2647"
